Rent,Bedrooms,Sq.Mt,Floor,Outer,Elevator,Penthouse,Cottage,Duplex,Semidetached,Bedrooms / Sq.Mt,Elevator x Penthouse,Bedrooms x Duplex,Outer x Penthouse,Outer x Duplex,District_barajas,District_carabanchel,District_centro,District_chamartin,District_chamberi,District_ciudad lineal,District_fuencarral,District_hortaleza,District_latina,District_moncloa,District_moratalaz,District_puente vallecas,District_retiro,District_salamanca,District_san blas,District_tetuan,District_usera,District_vicalvaro,District_villa de vallecas,Prediction
750,0,45,0.0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913.6050000000001
1850,1,50,4.0,1,1,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1772.9599000000003
730,3,61,2.0,1,1,0,0,0,0,0.04918032786885246,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830.4732000000001
5500,5,422,1.0,1,1,0,0,0,0,0.011848341232227487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5477.5993
2565,2,80,1.0,1,1,0,0,0,0,0.025,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590.3012
1450,1,55,3.0,1,1,0,0,0,0,0.01818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,813.6838
1250,0,65,5.0,1,1,1,0,0,0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616.0488
1300,2,72,3.0,1,1,0,0,0,0,0.027777777777777776,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,989.1714000000001
870,2,60,1.0,1,1,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293.0541
750,1,49,0.0,1,1,0,0,0,0,0.02040816326530612,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,616.3048000000001
